,price,total_area,rooms,ceiling_height,floors_total,living_area,floor,studio,kitchen_area,floor_coef,is_balcony,is_first_floor,is_last_floor,is_park_near,is_airport_near,is_center_near,is_pond_near,is_one_room,is_two_room,is_three_room,is_apartaments
168,6550000.0,79.0,4,2.6,9,55.3,6,False,10.0,0.6666666666666666,True,False,False,False,False,False,False,False,False,False,True
169,4690000.0,35.0,1,2.7,17,16.0,15,False,9.8,0.8823529411764706,True,False,False,False,False,False,False,True,False,False,False
170,7700000.0,58.7,1,2.72,7,17.0,3,False,15.7,0.42857142857142855,True,False,False,True,False,False,False,True,False,False,False
171,3890000.0,37.0,1,2.5,25,28.0,6,False,9.0,0.24,True,False,False,False,False,False,False,True,False,False,False
172,3750000.0,43.0,2,2.75,4,28.0,1,False,6.0,0.25,True,True,False,True,False,False,True,False,True,False,False
173,5950000.0,59.6,2,2.75,25,31.48,17,False,13.29,0.68,True,False,False,False,False,False,False,False,True,False,False
174,2350000.0,35.4,1,2.6,5,18.2,1,False,9.8,0.2,True,True,False,False,False,False,False,True,False,False,False
175,5650000.0,61.4,2,2.75,16,34.0,8,False,14.0,0.5,False,False,False,False,False,False,False,False,True,False,False
176,3350000.0,58.9,2,2.6,5,31.5,3,False,12.9,0.6,True,False,False,False,False,False,False,False,True,False,False
177,7950000.0,86.4,4,2.93,3,52.7,1,False,12.7,0.3333333333333333,True,True,False,False,False,True,False,False,False,False,True
178,2530000.0,46.0,1,2.77,4,19.3,3,False,11.0,0.75,True,False,False,False,False,False,False,True,False,False,False
179,7290000.0,74.3,3,2.77,24,41.9,3,False,16.5,0.125,True,False,False,False,False,False,False,False,False,True,False
180,3250000.0,34.3,1,2.72,11,14.73,7,False,9.36,0.6363636363636364,True,False,False,False,False,False,True,True,False,False,False
181,4250000.0,56.9,3,2.77,9,38.8,8,False,6.2,0.8888888888888888,True,False,False,False,False,False,False,False,False,True,False
182,3900000.0,42.2,1,2.72,14,14.7,4,False,10.4,0.2857142857142857,True,False,False,True,False,False,True,True,False,False,False
183,7820000.0,57.0,2,2.75,5,33.0,3,False,8.0,0.6,True,False,False,True,False,False,False,False,True,False,False
184,3650000.0,35.8,1,2.5,14,20.3,2,False,7.7,0.14285714285714285,False,False,False,False,False,False,False,True,False,False,False
185,5420000.0,43.4,1,2.72,24,17.87,2,False,12.4,0.08333333333333333,True,False,False,False,False,False,False,True,False,False,False
186,4700000.0,42.0,2,2.7,5,27.0,2,False,6.0,0.4,True,False,False,False,False,False,False,False,True,False,False
187,7990000.0,55.0,2,2.8,16,29.0,6,False,10.0,0.375,True,False,False,True,False,False,False,False,True,False,False
188,7250000.0,57.0,2,2.75,6,29.0,5,False,10.0,0.8333333333333334,True,False,False,True,False,False,False,False,True,False,False
189,1800000.0,36.2,1,2.5,4,20.0,1,False,9.0,0.25,True,True,False,False,False,False,False,True,False,False,False
190,6850000.0,57.1,2,2.75,9,29.5,4,False,9.0,0.4444444444444444,False,False,False,True,False,False,False,False,True,False,False
191,6000000.0,46.4,1,2.5,16,18.0,5,False,11.5,0.3125,True,False,False,False,False,False,False,True,False,False,False
192,4500000.0,52.5,2,2.6,14,29.5,11,False,7.5,0.7857142857142857,True,False,False,False,False,False,False,False,True,False,False
193,650000.0,31.0,1,2.72,3,17.87,1,False,9.54,0.3333333333333333,True,True,False,False,False,False,False,True,False,False,False
194,5000000.0,70.5,3,2.65,9,44.9,9,False,10.5,1.0,True,False,True,False,False,False,False,False,False,True,False
195,3200000.0,51.7,2,2.65,16,29.2,5,False,7.7,0.3125,True,False,False,False,False,False,False,False,True,False,False
196,2950000.0,34.0,1,2.6,9,17.0,9,False,8.0,1.0,True,False,True,False,False,False,False,True,False,False,False
197,5000000.0,43.0,1,2.8,16,17.0,11,False,12.5,0.6875,True,False,False,True,False,False,False,True,False,False,False
198,3340000.0,37.0,1,2.72,5,19.0,4,False,10.0,0.8,True,False,False,True,False,False,True,True,False,False,False
199,3350000.0,31.2,1,2.5,9,15.6,9,False,8.2,1.0,False,False,True,False,False,False,False,True,False,False,False
200,1850000.0,40.2,1,2.7,3,19.0,2,False,9.0,0.6666666666666666,True,False,False,False,False,False,False,True,False,False,False
201,5350000.0,65.6,3,2.5,9,42.8,2,False,9.5,0.2222222222222222,True,False,False,False,False,False,False,False,False,True,False
202,3450000.0,58.0,3,2.77,9,38.5,1,False,6.1,0.1111111111111111,True,True,False,False,False,False,False,False,False,True,False
203,2050000.0,53.1,2,2.6,3,29.0,1,False,8.7,0.3333333333333333,True,True,False,False,False,False,False,False,True,False,False
204,900000.0,30.0,1,2.5,5,15.0,4,False,5.0,0.8,True,False,False,False,False,False,False,True,False,False,False
205,2050000.0,53.0,2,2.75,5,29.0,4,False,9.0,0.8,False,False,False,False,False,False,False,False,True,False,False
206,3150000.0,37.3,1,2.8,17,15.2,14,False,10.3,0.8235294117647058,False,False,False,False,False,False,False,True,False,False,False
207,3930000.0,37.9,1,2.72,10,17.8,6,False,8.3,0.6,True,False,False,False,False,False,True,True,False,False,False
208,650000.0,46.0,2,2.5,5,30.0,5,False,7.0,1.0,True,False,True,False,False,False,False,False,True,False,False
209,4200000.0,60.1,3,2.65,9,43.0,1,False,7.0,0.1111111111111111,True,True,False,False,False,False,True,False,False,True,False
210,3700000.0,34.0,1,2.6,10,18.0,8,False,8.0,0.8,True,False,False,True,False,False,True,True,False,False,False
211,1449900.0,43.8,2,2.7,4,29.0,2,False,5.0,0.5,True,False,False,False,False,False,False,False,True,False,False
212,3950000.0,52.03,2,2.75,18,25.41,18,False,11.52,1.0,True,False,True,False,False,False,False,False,True,False,False
213,4750000.0,57.2,2,2.5,10,29.8,1,False,11.6,0.1,True,True,False,True,False,False,True,False,True,False,False
214,4318000.0,37.55,1,2.72,14,15.2,10,False,8.9,0.7142857142857143,True,False,False,False,False,False,True,True,False,False,False
215,2000000.0,31.0,1,2.75,9,15.0,9,False,10.0,1.0,True,False,True,False,False,False,False,True,False,False,False
216,4600000.0,65.0,3,2.77,15,44.0,11,False,11.0,0.7333333333333333,True,False,False,True,False,False,True,False,False,True,False
217,4900000.0,63.0,2,2.75,9,34.4,5,False,9.95,0.5555555555555556,False,False,False,False,False,False,False,False,True,False,False
218,3600000.0,45.2,1,2.72,18,18.0,12,False,14.2,0.6666666666666666,True,False,False,False,False,False,False,True,False,False,False
219,2700000.0,62.4,3,2.5,5,36.7,5,False,8.1,1.0,True,False,True,False,False,False,False,False,False,True,False
